ID,Arrondissement,Nom_parc_lieu,Proximité_jeux_repère,Intersection,Etat,Date_installation,Remarque,Precision_localisation,X,Y,Longitude,Latitude
805,Le Sud-Ouest,Angrignon,sentier,chemin du parc Angrignon,,,Grands Parcs,,296905.5,5033962.89,-73.6009197316599,45.4455527062677
806,Le Sud-Ouest,Angrignon,sentier,,,,Grands Parcs,,297040.89,5034005.64,-73.5991896436921,45.4459389084864
807,Le Sud-Ouest,Angrignon,,,,,Grands Parcs,,296970.77,5033902.65,-73.6000843921209,45.4450113702856
808,Le Sud-Ouest,Angrignon,,,,,Grands Parcs,,296994.83,5033863.79,-73.5997762068996,45.4446619573138
809,Le Sud-Ouest,Angrignon,sentier,chemin du parc Angrignon,,,Grands Parcs,,296429.37,5033315.5,-73.6069953405232,45.4397216210676
810,Le Sud-Ouest,Angrignon,sentier,chemin du parc Angrignon,,,Grands Parcs,,297091.99,5033529.55,-73.5985289430859,45.4416553729242
811,Le Sud-Ouest,Angrignon,,,,,Grands Parcs,,296876.18,5033180.01,-73.6012819390826,45.4385076188730
812,Le Sud-Ouest,Angrignon,sentier,chemin du parc Angrignon,,,Grands Parcs,,296518.18,5033839.09,-73.6058689639818,45.4444342093047
813,Plateau-Mont-Royal,Jeanne-Mance,,,,,Grands Parcs,,298123.35,5041765.4,-73.5854573792679,45.5157759402544
814,Plateau-Mont-Royal,Jeanne-Mance,,,,,Grands Parcs,,298177.52,5041685.03,-73.5847629486470,45.5150532553701
815,Plateau-Mont-Royal,Jeanne-Mance,,,,,Grands Parcs,,298209.49,5041664.65,-73.5843534822615,45.5148701708428
816,Plateau-Mont-Royal,Jeanne-Mance,,,,,Grands Parcs,,298291.64,5041660.97,-73.5833019774264,45.5148378283216
817,Plateau-Mont-Royal,Jeanne-Mance,,,,,Grands Parcs,,298045.81,5041902.52,-73.5864517360189,45.5170090539287
818,Plateau-Mont-Royal,Jeanne-Mance,,,,,Grands Parcs,,298012.61,5041969.86,-73.5868776186672,45.5176146836084
819,Plateau-Mont-Royal,Jeanne-Mance,,,,,Grands Parcs,,297969.43,5042000.67,-73.5874307451800,45.5178915025215
820,Plateau-Mont-Royal,Jeanne-Mance,,,,,Grands Parcs,,297851.71,5041889.59,-73.5889359752777,45.5168907974043
821,Plateau-Mont-Royal,Jeanne-Mance,,,,,Grands Parcs,,298486.85,5041559.2,-73.5808021323056,45.5139238555071
822,Plateau-Mont-Royal,La Fontaine,,,,,Grands Parcs,,299512.98,5043258.32,-73.5676870151644,45.5292217427946
823,Plateau-Mont-Royal,La Fontaine,,,,,Grands Parcs,,299344.31,5043250.82,-73.5698463258569,45.5291529550049
824,Plateau-Mont-Royal,La Fontaine,,,,,Grands Parcs,,299265.82,5043164.23,-73.5708502130028,45.5283731662185
825,Plateau-Mont-Royal,La Fontaine,,,,,Grands Parcs,,299306.41,5043102.94,-73.5703298808862,45.5278219763884
826,Plateau-Mont-Royal,La Fontaine,,,,,Grands Parcs,,299257.25,5043098.84,-73.5709591887615,45.5277846938052
827,Plateau-Mont-Royal,La Fontaine,,,,,Grands Parcs,,299541.25,5043136.32,-73.5673237794031,45.5281241538897
828,Plateau-Mont-Royal,La Fontaine,,,,,Grands Parcs,,299513.48,5043067.21,-73.5676785515887,45.5275020654384
829,Plateau-Mont-Royal,La Fontaine,,,,,Grands Parcs,,299632.73,5043030.91,-73.5661515194689,45.5271763183111
830,Plateau-Mont-Royal,La Fontaine,,,,,Grands Parcs,,299509.57,5042934.05,-73.5677271698308,45.5263038106635
831,Plateau-Mont-Royal,La Fontaine,,,,,Grands Parcs,,299117.23,5042996.46,-73.5727505586166,45.5268623116290
832,Plateau-Mont-Royal,La Fontaine,,,,,Grands Parcs,,299179.09,5042790.75,-73.5719562703872,45.5250117550577
833,Plateau-Mont-Royal,La Fontaine,,,,,Grands Parcs,,299260.1,5042802.72,-73.5709193542654,45.5251201143084
834,Plateau-Mont-Royal,La Fontaine,,,,,Grands Parcs,,299570.13,5042528.53,-73.5669475633891,45.5226552404959
835,Plateau-Mont-Royal,Jeanne-Mance,,,,,Grands Parcs,,298215.47,5041716.22,-73.5842776355914,45.5153342748984
836,Rivière-des-Prairies–Pointe-aux-Trembles,parc nature de la Pointe-aux-Prairies,,,,,Grands Parcs,,302969.03,5060942.37,-73.5235073560208,45.6883651093504
837,Rivière-des-Prairies–Pointe-aux-Trembles,parc nature de la Pointe-aux-Prairies,,,,,Grands Parcs,,303607.22,5061787,-73.5153158723665,45.6959665925681
838,Rivière-des-Prairies–Pointe-aux-Trembles,parc nature de la Pointe-aux-Prairies,,,,,Grands Parcs,,303573.41,5061624.86,-73.5157495995575,45.6945075774194
839,Rivière-des-Prairies–Pointe-aux-Trembles,parc nature de la Pointe-aux-Prairies,,,,,Grands Parcs,,305151.96,5060290.26,-73.4954817477005,45.6824996602096
840,Rivière-des-Prairies–Pointe-aux-Trembles,parc nature de la Pointe-aux-Prairies,,,,,Grands Parcs,,304219.18,5060032.98,-73.5074559127872,45.6801844627021
841,Ville-Marie,du Mont-Royal,chalet,,,,Grands Parcs,,297968.62,5040392.46,-73.5874187076881,45.5034201653086
842,Ville-Marie,du Mont-Royal,chalet,,,,Grands Parcs,,298013.69,5040425.75,-73.5868424243730,45.5037201625941
843,Ville-Marie,du Mont-Royal,sentier,,,,Grands Parcs,,297993.79,5040245.38,-73.5870945759392,45.5020969236876
844,Ville-Marie,du Mont-Royal,chemin,,,,Grands Parcs,,297633.33,5040316.15,-73.5917081726892,45.5027301319067
845,Ville-Marie,du Mont-Royal,chalet,,,,Grands Parcs,,297988.78,5040500.19,-73.5871622236582,45.5043897620654
846,Ville-Marie,du Mont-Royal,chalet,,,,Grands Parcs,,297922.91,5040477.85,-73.5880048385643,45.5041880911219
847,Ville-Marie,du Mont-Royal,chalet,près du lac des castors,,,Grands Parcs,,297051.25,5039859.87,-73.5991495321484,45.4986181098056
848,Ville-Marie,du Mont-Royal,chemin,,,,Grands Parcs,,297823.63,5040457.05,-73.5892750088408,45.5039999381890
849,Ville-Marie,du Mont-Royal,sentier,près du lac des castors,,,Grands Parcs,,297034.91,5039898.87,-73.5993592283718,45.4989688666521
850,Ville-Marie,du Mont-Royal,stationnement,,,,Grands Parcs,,297497.16,5040174.42,-73.5934485576128,45.5014533736525
851,Ville-Marie,du Mont-Royal,,ave du Parc/rue Prince Arthur Ouest,,,Grands Parcs,,298561.12,5041257.25,-73.5798477077722,45.5112074551243
852,Ville-Marie,du Mont-Royal,,près de rue Hill Parck Circle,,,Grands Parcs,,297163.55,5039699.85,-73.5977101033573,45.4971794199827
853,Ville-Marie,du Mont-Royal,sentier,près du lac des castors,,,Grands Parcs,,297217.35,5039731.56,-73.5970222112183,45.4974653468355
854,Ville-Marie,du Mont-Royal,sentier,près du lac des castors,,,Grands Parcs,,297206.75,5039744.09,-73.5971580350051,45.4975779818353
855,Ville-Marie,du Mont-Royal,,ave des Pins Ouest/rue Peel,,,Grands Parcs,,298309.17,5040579.06,-73.5830632860766,45.5051025221477
856,Ville-Marie,du Mont-Royal,,ave du Parc/ave Duluth Ouest,,,Grands Parcs,,298102.57,5041596.63,-73.5857210456158,45.5142570807954
857,Ville-Marie,du Mont-Royal,,ave du Parc/ave Duluth Ouest,,,Grands Parcs,,298157.36,5041559.74,-73.5850192841203,45.5139256537971
858,Villeray–Saint-Michel–Parc-Extension,Jarry,,,,,Grands Parcs,orthophotographies,295111.5,5043838.88,-73.6240482953232,45.5343985453147
859,Villeray–Saint-Michel–Parc-Extension,Jarry,,,,,Grands Parcs,orthophotographies,294657.52,5043883.33,-73.6298618084324,45.5347920624094
860,Ville-Marie,du Mont-Royal,sentier,,,,Grands Parcs / auge pour chevaux,orthophotographies,297985.9,5040244.65,-73.5871955288026,45.5020902778169
861,Montréal-Nord,parc nature de l'Île-de-la-Visitation,sentier,ave Touchette/,,,,orthophotographies,292827.9,5049503.87,-73.6534253200919,45.5853383783977
